i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
166	-9982.07486633	2488.81079065	0.0	-9958.09231602	2534.01854486	-76.1724170199	23.982550305955954	45.20775421024226	-76.17241701985198
167	-10113.908839	2334.97983886	0.0	-10098.7797329	2434.62136931	-2.90253638798	15.129106068577329	99.64153044597467	-2.9025363879809305
168	-10238.2698691	2176.21144083	0.0	-10186.4989282	2229.59118298	61.5692704829	51.770940965719404	53.37974214584895	61.56927048285178
169	-10354.6819236	2012.74627333	0.0	-10389.9180013	1917.28105332	91.0408181509	-35.236077685065936	-95.4652200073383	91.04081815085286
170	-10462.6872802	1844.85405821	0.0	-10517.9931993	1901.86361522	52.3053236919	-55.305919152216546	57.00955701715006	52.30532369192079
171	-10561.8506759	1672.83280809	0.0	-10530.5581798	1763.19913497	-95.4922745165	31.29249607646389	90.36632688026157	-95.49227451649973
172	-10651.7634088	1497.00772053	0.0	-10598.8037572	1596.34203733	-97.7034430908	52.95965158065786	99.33431679948026	-97.70344309075278
173	-10732.0473259	1317.7297185	0.0	-10692.0463067	1321.37372927	-36.0054493092	40.00101915078099	3.6440107713662258	-36.00544930924965
174	-10802.3586291	1135.37364278	0.0	-10802.8833912	1116.49473692	-50.3308258587	-0.5247621365834334	-18.87890585979565	-50.33082585866
175	-10862.3914313	950.336109023	0.0	-10829.8824034	901.736712883	67.2483395424	32.509027964269364	-48.59939613979996	67.24833954238738
176	-10911.8809958	763.033050342	0.0	-10887.8457966	806.579311613	-35.0726007364	24.035199163865187	43.546261271247175	-35.072600736357
177	-10950.6065962	573.89697351	0.0	-11038.4831143	497.915849902	70.2005938779	-87.87651810510624	-75.98112360722531	70.20059387785048
178	-10978.3939419	383.373964234	0.0	-10991.0257716	335.82857227	-99.1729796319	-12.631829702159195	-47.54539196406531	-99.17297963188074
179	-10995.1171177	191.920483183	0.0	-10958.4681308	265.756707586	57.2545615417	36.6489869318886	73.83622440254524	57.254561541671336
180	-11000.7	1.34719720434e-12	0.0	-11090.408297	98.8289280798	-96.3821266655	-89.70829698867244	98.8289280797976	-96.38212666549649
181	-10995.1171177	-191.920483183	0.0	-11055.1677692	-223.579851769	-79.4522446213	-60.05065144831627	-31.65936858615727	-79.452244621349
182	-10978.3939419	-383.373964234	0.0	-10969.2133068	-355.800149171	-54.8077408088	9.180635112719543	27.573815063156218	-54.80774080875845
183	-10950.6065962	-573.89697351	0.0	-10869.3225849	-625.308054995	8.22672095586	81.28401135305552	-51.41108148582227	8.22672095585611
